QST_TOPIC,SUBTOPICS_COUNT,SUBTOPICS_LIST
QUALITY OF DIVERSITY TRAINING PROGRAMS,10,"['Content relevance','Trainer expertise','Engagement techniques','Practical examples','Follow-up actions','Training materials','Duration','Impact assessment','Inclusivity','Overall effectiveness']"
RECOGNITION AND REWARDS,12,"['Recognition programs','Incentive structures','Peer recognition','Manager recognition','Award frequency','Criteria for rewards','Impact on motivation','Transparency','Fairness','Monetary rewards','Non-monetary rewards', 'Feedback on recognition']"
REMOTE WORKING EXPERIENCE,12,"['Home office setup','IT support','Communication tools','Team collaboration','Work-life balance','Manager support','Productivity tracking','Mental health support','Flexibility','Communication tools', 'Technical issues','Overall satisfaction']"
ROADMAP PLANNING FEEDBACK,13,"['Goal alignment','Timeline clarity','Resource allocation','Stakeholder input','Risk assessment','Communication plan','Team roles','Progress tracking','Adaptability','Clarity of goals', 'Team involvement', 'Feasibility of plans','Overall effectiveness']"
SATISFACTION,12,"['Job satisfaction','Work environment','Career growth','Compensation','Work-life balance','Management support','Peer relationships','Recognition programs','Workload','Company culture','Benefits','Overall happiness']"
SMART WORKING,10,"['Flexible hours','Remote working options','Technology tools','Performance tracking','Work-life balance','Communication tools','Team collaboration','Autonomy','Manager support','Productivity measures']"
STRESS AT WORK,10,"['Workload','Deadlines','Support from management','Peer support','Work-life balance','Resource availability','Mental health support','Job security','Support systems','Work environment']"
TEAMBUILDING INITIATIVES FEEDBACK,10,"['Activity relevance','Engagement level','Team participation','Facilitator effectiveness','Logistics','Learning outcomes','Team bonding','Enjoyment','Follow-up activities','Overall satisfaction']"
TRAINING AND DEVELOPMENT PROGRAMS,12,"['Program content','Trainer expertise','Training methods','Practical application','Program duration','Resource availability','Participant engagement','Feedback mechanisms','Follow-up support','Skill enhancement','Career impact','Overall satisfaction']"
TRAINING EFFECTIVENESS,12,"['Content relevance','Trainer quality','Participant engagement','Practical application','Learning outcomes','Feedback mechanisms','Assessment methods','Resource availability','Duration appropriateness','Knowledge gained','Overall impact','Skill application']"
TRAINING TO PROFESSIONAL USERS,10,"['Content relevance','Instructor expertise','Training materials','Engagement level','Practical application','Duration','Assessment methods','Feedback','Support post-training','Overall satisfaction']"
WORKLIFE BALANCE,13,"['Work hours','Flexibility','Remote working options','Leave policies','Support from management','Workload','Job satisfaction','Employee well-being programs','Family support programs','Mental health resources','Peer support','Vacation policies', 'Support for parents']"
WORKLOAD MANAGEMENT,12,"['Task prioritization','Resource availability','Support from management','Time management','Delegation','Work-life balance','Role clarity','Workload distribution','Feedback mechanisms','Team collaboration','Stress levels','Productivity']"
WORKPLACE CULTURE,12,"['Company values','Inclusivity','Team collaboration','Management support','Recognition programs','Work environment','Communication','Employee engagement','Work-life balance','Peer relationships','Feedback mechanisms','Overall satisfaction']"
WORKPLACE ENVIRONMENT,10,"['Physical workspace','Ergonomics','Cleanliness','Safety measures','Noise levels','Lighting','Temperature control','Break areas','Resource availability','Comfort']"
