ID,TYPE_ID,QUESTIONNAIRE_ID,CODE,NAME,DISPLAY_ORDER
1433862,4,1433792,-9,Any additional comment?,9
1433863,1,1433792,-10,What's the preferred timeframe you would feel comfortable starting a new job?,10
1433865,2,1433792,-7,I would prefer changining for a job in this family.,7
1950102,4,,1,Respect of policies and procedures,1
1950104,4,,2,Reliability and quality in assigned tasks outcomes,1
1950105,4,,3,Attitude to support with efficiency collegues asking for help,2
1950107,4,,4,"Thinking ""outside of the box"" - innovating fostering",3
5100001,1,5100002,1.1,Did the training provided correspond to your expectations?,1
5100002,1,5100002,1.2,Were you able to put into practice what you learned?,2
5100003,1,5100002,1.3,"Looking back, do you think you have acquired the expected skills?",3
5100004,1,5100002,1.4,Have you experienced work situations that have increased your skills? Can you describe them?,4
5100005,1,5100002,2.1,Do you know the terms of access to training?,5
5100006,1,5100002,2.2,"Would you like to follow a training course, carry out a skills assessment?",6
5100007,1,5100002,2.3,Have you given any look at our learning catalog? Do you plan to take advantage of it in the short term?,7
5100008,1,5100002,2.4,"If not why? If so, for which initiative?",8
5100009,1,5100002,3.1,Do you have any career aspiration within the company? If so on which position and within what timeframe?,9
5100010,1,5100002,3.2,"What changes do you envisage (in terms of responsibilities, change of activity, etc.)?",10
5100011,1,5100002,3.3,What are your strengths to achieve them? Your limits?,11
5100012,1,5100002,3.4,What do you think it takes to reach them?,12
5100015,3,,0,How likely is it that you would recommend this session to a friend or colleague?,1
5100016,3,5100003,8,How likely is it that you would recommend this session to a friend or colleague?,8
5100017,1,5100003,1,Did the session achieved the target goals? ,1
5100018,1,5100003,2,The quality of the material was appropriate for this course...,2
5100019,1,5100003,3,Teachers were engaging and prepared,3
5100020,3,5100003,4,Rate how much your instructors were in the role and their knowledge,4
5100021,1,5100003,5,The duration of the course was appropriate given the target goals...,5
5100022,1,5100003,6,"Overall, how much you were satisfied from the information received?",6
5100023,4,5100003,7,Any additional comments or suggestions for improving?,7
500000002,1,500000002,1,I am satisfied with my opportunities for professional growth.,1
500000003,1,500000002,2,My organization is dedicated to my professional development.,2
500000004,1,500000002,3,I am satisfied with the job-related training my organization offers.,3
500000005,1,500000002,4,ï¿½I am satisfied with the investment my organization makes in training and education.,4
500000006,1,500000002,5,I am inspired to meet my goals at work.,5
500000007,1,500000002,6,ï¿½I feel completely involved in my work.,6
500000008,1,500000002,7,ï¿½I get excited about going to work.,7
500000009,1,500000002,8,I am often so involved in my work that the day goes by very quickly.,8
500000010,1,500000002,9,Communication between senior leaders and employees is good in my organization.,9
500000011,1,500000002,10,I am able to make decisions affecting my work.,10
500000012,1,500000002,11,Management within my organization recognizes strong job performance.,11
500000013,1,500000002,12,ï¿½I am satisfied with my overall compensation.,12
500000014,1,500000002,13,I am compensated fairly relative to my local market.,13
500000015,1,500000002,14,ï¿½I am satisfied with my total benefits package.,14
500000016,1,500000002,15,I am satisfied with the workplace flexibility offered by my organization.,15
500000017,4,500000002,COMMENT,Final Comments,16
500000018,1,500000003,1,Has always a positive attitude with collagues,1
500000019,1,500000003,2,Takes the risk to decide for the Team,2
500000020,1,500000003,3,Takes initiative,3
500000021,1,500000003,4,Is attentive to details,4
500000022,1,500000003,5,Also suitable to work in this area,5
500000023,1,500000003,6,Readiness,6
500000024,4,500000003,C1,Areas of improvements,7
500000025,4,500000003,C2,Development initiatives,8
500000028,1,500000005,1,How do you rate this course?,1
500000029,2,500000005,2,What's your preferred device?,2
500000030,4,500000005,3,Send us feedback,3
500000031,5,500000005,4,What's important for you,4
500000032,6,500000005,5,How do you split the welfare amount?,5
500100002,1,500100002,Q1,What is your role in the company?,1
500100003,1,500100002,Q2,How long have you been with the company?,2
500100004,3,500100002,Q3,"On a scale of 1 to 5, how satisfied are you with the technology and tools provided by the company to perform your job? (1 being very dissatisfied, 5 being very satisfied)",3
500100005,1,500100002,Q4,Do you have access to the necessary software and applications needed to perform your job effectively?,4
500100006,2,500100002,Q5,How would you rate the reliability and performance of the technology and tools provided by the company?,5
500100007,3,500100002,Q6,"On a scale of 1 to 5, how easy is it for you to access technical support when encountering issues with technology or tools? (1 being very difficult, 5 being very easy)",6
500100008,4,500100002,Q7,What improvements would you suggest to enhance access to technology and tools within the company?,7
500100009,4,500100002,Q8,How can the company better support employees in utilizing technology and tools effectively?,8
500100010,4,500100002,Q9,Any additional comments or feedback regarding access to technology and tools?,9
500100011,1,500100003,Q1,What is your role in the company?,1
500100012,1,500100003,Q2,How long have you been with the company?,2
500100013,3,500100003,Q3,"On a scale of 1 to 10, how satisfied are you with the technology and tools provided to you for your work? (1 being very dissatisfied, 10 being very satisfied)",3
500100014,1,500100003,Q4,"Do you have access to the necessary hardware (e.g., computers, mobile devices) to perform your job effectively?",4
500100015,1,500100003,Q5,Specify from agree to disagree if you have access to the required software and applications to perform your job effectively,5
500100016,4,500100003,Q6,Leave a comment to complete your previous answer.,6
500100017,4,500100003,Q7,Are there any specific technology or tools you feel are lacking or could be improved?,7
500100018,4,500100003,Q8,Is there any improvement you would suggest to enhance access to technology and tools within the company?,8
500100019,4,500100003,Q9,Do you think there?s anything about employees? productivity improvement that we should take into consideration?,9
500100020,4,500100003,Q10,Any additional comments or suggestions?,10
500100021,1,500100004,Q1,What is your role in the company?,1
500100022,1,500100004,Q2,How long have you been in this role?,2
500100023,3,500100004,Q3,"On a scale of 1 to 10, how would you rate the availability of technology and tools provided by the company? (1 being very poor, 10 being excellent)",3
500100024,1,500100004,Q4,Do you have access to the necessary software and applications required to perform your job effectively?,4
500100025,1,500100004,Q5,Are the technology and tools provided by the company user-friendly and easy to use?,5
500100026,3,500100004,Q6,How would you rate from 1 to 5 the quality of support you received to effectively use the technology and tools provided?,6
500100027,4,500100004,Q7,What improvements or changes would you suggest to enhance access to technology and tools within the company?,7
500100028,4,500100004,Q8,What improvements or changes would you suggest to enhance the support to access to technology and tools within the company?,8
500100029,4,500100004,Q9,Any additional comments or suggestions regarding access to technology and tools?,9
500100030,3,500100005,Q1,From 1 to 5 how much your role in the company is affected by use of technology?,1
500100031,1,500100005,Q2,How long have you been with the company?,2
500100032,1,500100005,Q3,Are technology tools you daily use:,3
500100033,1,500100005,Q4,"Do you have access to the necessary hardware (computers, laptops, mobile devices) required for your job?",4
500100034,1,500100005,Q5,Are the software and applications provided by the company sufficient for your job tasks?,5
500100035,1,500100005,Q6,You perceive your company could invest more in tools and technologies?,6
500100036,1,500100005,Q7,Is the availability of tools and technology required for your job fully accessible when you work out of the office?,7
500100037,3,500100005,Q8,"On a scale of 1 to 10, how satisfied are you with the technical support provided by the company? (1 being very dissatisfied, 10 being very satisfied)",8
500100038,4,500100005,Q9,Is there any improvement you would you suggest to enhance access to technology and tools outside of the company?,9
500100039,4,500100005,Q10,How can the company better support employees in utilizing technology to improve their workflow?,10
500100040,4,500100005,Q11,Any additional comments or feedback regarding access to technology and tools?,11
500100041,1,500100006,Q1,What do you think has the highest priority for you?,1
500100042,1,500100006,Q2,How long have you been in your current role?,2
500100043,3,500100006,Q3,"On a scale of 1 to 10, how satisfied are you with the benefits provided by the company? (1 being very dissatisfied, 10 being very satisfied)",3
500100044,2,500100006,Q4,Which of the following benefits do you find most valuable? (Select all that apply),4
500100045,1,500100006,Q5,Do you feel that the benefits provided adequately meet your needs?,5
500100046,4,500100006,Q6,What additional benefits or perks would you like to see offered by the company?,6
500100047,4,500100006,Q7,Are there any existing benefits that you perceive not aligned or well dimensioned with respect to your seniority?,7
500100048,4,500100006,Q8,Is the access to benefits pack effectively communicated by the company to employees?,8
500100049,4,500100006,Q9,Any other suggestions or comments regarding the benefits provided by the company?,9
500100050,1,500100007,Q1,What is your role in the company?,1
500100051,1,500100007,Q2,How long have you been with this role?,2
500100052,1,500100007,Q3,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,3
500100053,1,500100007,Q4,Do you think the company offer clear and transparent path for career growth within the company?,4
500100054,1,500100007,Q5,Have you had any discussions with your manager about your career goals and aspirations?,5
500100055,1,500100007,Q6,How satisfied are you with the training and development opportunities provided by the company?,6
500100056,2,500100007,Q7,Are there any training and development opportunities you participated in in the recent past? (Select all that apply),7
500100057,1,500100007,Q8,Do you feel that the training and development opportunities provided align with your career goals?,8
500100058,3,500100007,Q9,Rate the level of support you receive by your manager to advance your career,9
500100059,3,500100007,Q10,Rate the level of support you receive by HR to advance your career,10
500100060,1,500100007,Q11,Have you have received a follow up initiative from your manager following a career development request?,11
500100061,4,500100007,Q12,What improvements would you suggest to enhance career development opportunities within the company?,12
500100062,4,500100007,Q13,Are there any specific training or development programs you would like to see implemented?,13
500100063,4,500100007,Q14,Do you have any additional comments or feedback regarding career development?,14
500100064,1,500100008,Q1,What is your role in the company?,1
500100065,1,500100008,Q2,How long have you been with this role?,2
500100066,1,500100008,Q3,How many roles you run through along your career in this company?,3
500100067,3,500100008,Q4,"On a scale of 1 to 10, how clear do you find the career paths and advancement opportunities within the company? (1 being very unclear, 10 being very clear)",4
500100068,1,500100008,Q5,Do you feel that there are internal job opportunities for career growth and advancement within the company?,5
500100069,1,500100008,Q6,Do you feel internal job opportunities are effectively communicated to employees within the company?,6
500100070,3,500100008,Q7,"On a scale of 1 to 10, how confident are you in your ability to advance in your career within the company? (1 being not confident at all, 10 being very confident)",7
500100071,3,500100008,Q8,"On a scale of 1 to 5, how much you think access to career advancement is fair and transparent for all employees?",8
500100072,4,500100008,Q9,How can the company better support employees in navigating their career paths and achieving their professional goals?,9
500100073,4,500100008,Q10,Any additional comments or feedback regarding career path clarity?,10
500100074,1,500100009,Q1,What is Job Level in the company?,1
500100075,1,500100009,Q2,How long have you been with the company?,2
500100076,3,500100009,Q3,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",3
500100077,3,500100009,Q4,"Rate, from 1 to 5, if there are enough opportunity for horizontal career advancement in your company?",4
500100078,1,500100009,Q5,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,5
500100079,3,500100009,Q6,"How much effective you think, from 1 to 5, the communication around career opportunity is within the company?",6
500100080,4,500100009,Q7,How can the company better communicate and support employees in exploring and pursuing their career goals?,7
500100081,1,500100010,Q1,What department your role in the company falls in?,1
500100082,1,500100010,Q2,How long have you been in your current role with the company?,2
500100083,3,500100010,Q3,"On a scale of 1 to 10, how clear is the career path within the company? (1 being very unclear, 10 being very clear)",3
500100084,1,500100010,Q4,Do you understand the potential career progression opportunities available to you within the company?,4
500100085,1,500100010,Q5,How often you have discussions with your manager or HR about your career development goals and aspirations?,5
500100086,3,500100010,Q6,"How would you rate, from 1 to 5, the overall company availability to listen to your career aspirations?",6
500100087,4,500100010,Q7,What improvements or changes would you suggest to enhance career path clarity within the company?,7
500100088,1,500100010,Q8,Tell us if you agree with this statement: my company offers a clear structured framework to map career paths for all employees?,8
500100089,4,500100010,Q9,"If you disagree, would you motivate why?",9
500100090,4,500100010,Q10,Any additional comments or suggestions regarding career path clarity?,10
500100091,1,500100011,Q1,What is your job function in the company?,1
500100092,1,500100011,Q2,How long have you been with the company?,2
500100093,3,500100011,Q3,"On a scale of 1 to 10, how much you think your company makes it clear to employees what are the career opportunities within the company? (1 being very unclear, 10 being very clear)",3
500100094,1,500100011,Q4,Do you feel that there is a defined career path for your role within the company?,4
500100095,1,500100011,Q5,Do you think career path are clearly defined for all roles?,5
500100096,3,500100011,Q6,"On a scale of 1 to 10, how supported do you feel in pursuing your career goals within the company? (1 being not supported at all, 10 being highly supported)",6
500100097,1,500100011,Q7,Have you received guidance or mentorship regarding your career development within the company?,7
500100098,4,500100011,Q8,How can the company better support employees in understanding and progressing along their career paths?,8
500100099,4,500100011,Q9,Any additional comments or feedback regarding career path clarity?,9
500100100,1,500100012,Q2,How long have you been with the company?,1
500100101,1,500100012,Q7,How motivated do you feel to perform well in your job on a daily basis?,2
500100102,2,500100012,Q6,What factors motivate you to perform well in your job? (Select all that apply),3
500100103,1,500100012,Q9,Do you feel that your efforts and contributions are adequately recognized by the company?,4
500100104,4,500100012,Q8,What could the company do to increase your motivation and job satisfaction?,5
500100105,1,500100013,Q1,What is your role in the company?,1
500100106,1,500100013,Q2,How long have you been with the company?,2
500100107,1,500100013,Q3,How satisfied are you with the performance evaluation process in the company?,3
500100108,2,500100013,Q4,What do you consider to be your key strengths in your role?,4
500100109,2,500100013,Q5,What areas do you feel you need to improve upon to enhance your performance?,5
500100110,1,500100013,Q6,Do you feel that the performance goals set for you are clear and achievable?,6
500100111,1,500100013,Q7,Do you feel adequately supported by your manager/supervisor to meet your performance goals?,7
500100112,1,500100013,Q8,Have you received constructive feedback on your performance from your manager or supervisor?,8
500100113,1,500100013,Q9,Have you been provided with opportunities for training and development to improve your performance?,9
500100114,4,500100013,Q10,Any additional comments or feedback regarding employee performance?,10
500100115,1,500100014,Q1,What is your role in the company?,1
500100116,1,500100014,Q2,How long have you been with the company?,2
500100117,3,500100014,Q3,"On a scale of 1 to 5, how would you rate your potential for growth and advancement within the company? (1 being low, 5 being high)",3
500100118,4,500100014,Q4,What areas do you feel are your strengths and contribute to your potential for growth within the company?,4
500100119,4,500100014,Q5,In what areas do you feel you have room for improvement to maximize your potential?,5
500100120,1,500100014,Q6,Have you discussed your career goals and aspirations with your manager or supervisor?,6
500100121,3,500100014,Q7,"On a scale of 1 to 10, how satisfied are you with the opportunities for career development and advancement within the company? (1 being very dissatisfied, 10 being very satisfied)",7
500100122,1,500100014,Q8,Do you feel supported by the company in your efforts to reach your full potential?,8
500100123,1,500100014,Q9,Have you received constructive feedback and guidance to help you maximize your potential?,9
500100124,4,500100014,Q10,How can the company better align your career goals with organizational needs and opportunities?,10
500100125,1,500100015,Q1,What is your role in the company?,1
500100126,3,500100015,Q3,"On a scale of 1 to 10, how satisfied are you with the existing feedback mechanisms in the company? (1 being very dissatisfied, 10 being very satisfied)",2
500100127,1,500100015,Q4,How often do you receive feedback from your manager/supervisor regarding your performance?,3
500100128,1,500100015,Q5,Do you feel comfortable providing feedback to your manager/supervisor?,4
500100129,1,500100015,Q6,Do you think that the feedback processes is transparent?,5
500100130,4,500100015,Q8,"In your opinion, how can the company encourage more open and constructive feedback among employees?",6
500100131,1,500100016,Q1,What is your role in the company?,1
500100132,1,500100016,Q2,How long have you been with the company?,2
500100133,1,500100016,Q4,How frequently do you receive feedback on your performance from your manager or supervisor?,3
500100134,1,500100016,Q5,Do you feel comfortable providing feedback to your manager or supervisor?,4
500100135,4,500100016,Q6,Are there any specific feedback mechanisms or processes you find particularly effective or ineffective?,5
500100136,1,500100017,Q1,What is your role in the company?,1
500100137,1,500100017,Q4,How frequently do you receive feedback on your performance or work within the company?,2
500100138,1,500100017,Q5,Do you feel comfortable providing feedback to your manager or colleagues?,3
500100139,1,500100017,Q6,Are feedback sessions or discussions constructive and helpful in guiding your performance or work?,4
500100140,4,500100017,Q7,What improvements or changes would you suggest to enhance feedback mechanisms within the company?,5
500100141,4,500100017,Q8,How can the company encourage a culture of open feedback and communication among employees?,6
500100142,4,500100017,Q9,Any additional comments or suggestions regarding feedback mechanisms?,7
500100143,1,500100018,Q1,What is your role in the company?,1
500100144,3,500100018,Q3,"How satisfied are you with the current feedback mechanisms in the company? (1 - very dissatisfied, 5 - very satisfied)",2
500100145,1,500100018,Q4,How frequently do you receive feedback on your performance from your manager or colleagues?,3
500100146,1,500100018,Q5,Do you feel comfortable providing feedback to your manager?,4
500100147,1,500100018,Q6,Do you feel comfortable providing feedback to your colleagues?,5
500100148,1,500100018,Q7,"Have you utilized any formal feedback channels provided by the company (e.g., surveys, suggestion boxes, performance reviews)?",6
500100149,3,500100018,Q8,"On a scale of 1 to 10, how effective do you believe feedback is in bringing about positive changes within the company? (1 being not effective at all, 10 being highly effective)",7
500100150,1,500100018,Q9,Have you seen any tangible improvements or changes in response to feedback provided by employees?,8
500100151,4,500100018,Q11,Any additional comments or feedback?,9
500100152,3,500100019,Q1,"On a scale of 1 to 10, how satisfied are you with the health and safety measures implemented by the company? (1 being very dissatisfied, 10 being very satisfied)",1
500100153,3,500100019,Q2,"On a scale of 1 to 10, how well do you believe the company responds to health and safety concerns raised by employees? (1 being very poorly, 10 being very well)",2
500100154,1,500100019,Q3,Are training and resources provided by the company adequate to ensure your health and safety at work?,3
500100155,1,500100019,Q4,Have you encountered any health or safety hazards in the workplace?,4
500100156,4,500100019,Q5,What improvements would you suggest to enhance health and safety measures within the company?,5
500100157,4,500100019,Q6,How can the company better involve employees in identifying and addressing health and safety concerns?,6
500100158,4,500100019,Q7,Any additional comments or feedback regarding health and safety measures?,7
500100159,1,500100020,Q5,Are you satisfied with the cleanliness and hygiene standards maintained in the workplace?,1
500100160,1,500100020,Q4,Do you feel that the company provides adequate training and resources to ensure your health and safety at work?,2
500100161,1,500100020,Q6,"Do you have easy access to health and safety information, such as emergency procedures and first aid resources?",3
500100162,4,500100020,Q7,What specific health and safety measures do you believe the company should implement or improve?,4
500100163,4,500100020,Q8,How can the company better communicate health and safety information to employees?,5
500100164,3,500100021,Q3,"On a scale of 1 to 10, how safe and healthy do you feel in the workplace? (1 being very unsafe/unhealthy, 10 being very safe/healthy)",3
500100165,1,500100021,Q4,Are you aware of the health and safety protocols and procedures in place within the company?,4
500100166,1,500100021,Q5,Do you feel that the company provides adequate resources and support to maintain a safe and healthy work environment?,5
500100167,4,500100021,Q7,Which improvements or changes would you suggest to enhance health and safety measures within the company?,7
500100168,4,500100021,Q8,How can the company better communicate and enforce health and safety protocols among employees?,8
500100169,4,500100021,Q9,Any additional comments or suggestions regarding health and safety measures?,9
500100170,1,500100022,Q1,What is your role in the company?,1
500100171,1,500100022,Q2,How long have you been with the company?,2
500100172,1,500100022,Q4,Do you feel that the company provides adequate resources and support for maintaining good health in the workplace?,3
500100173,1,500100022,Q5,Are you satisfied with the cleanliness and hygiene standards maintained in the workplace?,4
500100174,1,500100022,Q7,Have you received adequate training on health and safety protocols in the workplace?,5
500100175,1,500100022,Q8,Do you feel that safety concerns raised by employees are addressed promptly by the company?,6
500100176,4,500100022,Q9,What improvements would you suggest to enhance health and safety measures within the company?,7
500100177,1,500100023,Q1,What is your role in the company?,1
500100178,1,500100023,Q2,How long have you been with the company?,2
500100179,3,500100023,Q3,"On a scale of 1 to 5, how satisfied are you with the internal mobility opportunities available within the company? (1 being very dissatisfied, 5 being very satisfied)",3
500100180,1,500100023,Q4,Have you ever explored or applied for an internal job opportunity within the company?,4
500100181,1,500100023,Q5,How would you rate the transparency of the internal job posting and application process?,5
500100182,3,500100023,Q6,"How would you rate your company support in pursuing internal career opportunities? (1 being very unsupported, 10 being very supported)",6
500100183,4,500100023,Q7,Which improvements would you suggest?,7
500100184,1,500100024,Q1,What is your role in the company?,1
500100185,1,500100024,Q2,How long have you been with the company?,2
500100186,1,500100024,Q4,Have you ever applied for an internal job opening within the company?,3
500100187,1,500100024,Q5,"If you have applied for an internal job opening, how satisfied were you with the process?",4
500100188,1,500100024,Q6,Do you feel that the company supports and encourages internal mobility and career development?,5
500100189,4,500100024,Q8,How can the company better communicate and promote internal job openings and career advancement opportunities?,6
500100190,1,500100025,Q1,What is your role in the company?,1
500100191,1,500100025,Q2,How long have you been with the company?,2
500100192,1,500100025,Q4,Have you been provided with information about internal job openings or opportunities for career advancement within the company?,3
500100193,1,500100025,Q5,Have you ever applied for an internal job posting or expressed interest in internal mobility opportunities within the company?,4
500100194,1,500100025,Q6,Do you feel supported by the company in your efforts to explore internal mobility opportunities and advance your career?,5
500100195,4,500100025,Q7,Which improvements or changes would you suggest to enhance internal mobility opportunities within the company?,6
500100196,4,500100025,Q8,How can the company better support employees in exploring and pursuing internal mobility opportunities?,7
500100197,4,500100025,Q9,Any additional comments or suggestions regarding internal mobility opportunities?,8
500100198,1,500100026,Q1,What is your role in the company?,1
500100199,1,500100026,Q2,How long have you been with the company?,2
500100200,3,500100026,Q5,"On a scale of 1 to 5, how satisfied are you with the internal mobility opportunities provided by the company? (1 being very dissatisfied, 5 being very satisfied)",3
500100201,1,500100026,Q3,How aware are you of internal job opportunities within the company,4
500100202,1,500100026,Q4,Have you ever applied for an internal job posting within the company?,5
500100203,1,500100026,Q6,Do you feel supported by the company in pursuing internal mobility opportunities?,6
500100204,1,500100026,Q7,Have you received guidance or assistance from HR or your manager regarding internal career advancement?,7
500100205,4,500100026,Q8,What improvements would you suggest to enhance internal mobility opportunities within the company?,8
500100206,4,500100026,Q9,How can the company better communicate and promote internal job opportunities to employees?,9
500100207,4,500100026,Q10,Any additional comments or feedback regarding internal mobility opportunities?,10
500100208,1,500100027,Q1,What is your role in the company?,1
500100209,1,500100027,Q2,How long have you been with the company?,2
500100210,1,500100027,Q3,How long have you been in your role?,3
500100211,1,500100027,Q4,"Overall, how satisfied are you with your job?",4
500100212,1,500100027,Q5,Are you satisfied with your current job role and responsibilities?,5
500100213,1,500100027,Q6,How clearly are your job responsibilities and expectations communicated to you?,6
500100214,3,500100027,Q7,"Please, rate the level of challenge and interest in your work",7
500100215,1,500100027,Q8,"How satisfied are you with the physical work environment (e.g., office space, equipment, facilities)?",8
500100216,1,500100027,Q9,What is your opinion about the overall work atmosphere and culture?,9
500100217,1,500100027,Q10,Do you feel well when you get along with your colleagues?,10
500100218,1,500100027,Q11,I am satisfied with the support and guidance received from my immediate manager,11
500100219,1,500100027,Q12,Do you receive constructive feedback on your performance?,12
500100220,1,500100027,Q13,"How satisfied are you with your compensation (salary, bonuses)?",13
500100221,3,500100027,Q14,"Please, rate you satisfaction level with the benefits provided by the company (e.g., health insurance, retirement plans, leave policies)",14
500100222,1,500100027,Q15,"In your opinion, are there enough opportunities for career advancement within the company?",15
500100223,1,500100027,Q16,How likely are you to recommend this company as a good place to work?,16
500100224,4,500100027,Q17,Do you have any additional comments or suggestions to improve job satisfaction?,17
500100225,1,500100028,Q2,Which team or department do you belong to?,1
500100226,1,500100028,Q4,"How would you rate the overall effectiveness of the kick-off meeting? (1 being very ineffective, 5 being highly effective)",2
500100227,1,500100028,Q5,Were the objectives and agenda of the kick-off meeting clearly communicated in advance?,3
500100228,3,500100028,Q6,How well did the kick-off meeting address the goals and objectives of the project/initiative?,4
500100229,1,500100028,Q7,Were the roles and responsibilities of team members clearly defined during the meeting?,5
500100230,1,500100028,Q8,How satisfied are you with the level of participation and engagement during the kick-off meeting?,6
500100231,1,500100028,Q10,Were questions and concerns raised during the meeting adequately addressed?,7
500100232,1,500100029,Q1,What is your role in the company?,1
500100233,1,500100029,Q2,How long have you been with the company?,2
500100234,1,500100029,Q4,How would you rate the communication skills of your supervisor or manager?,3
500100235,1,500100029,Q5,Do you feel that leaders within the company actively listen to employee feedback and concerns?,4
500100236,3,500100029,Q6,"On a scale of 1 to 10, how well do you believe leaders within the company inspire and motivate their teams? (1 being not at all, 10 being extremely well)",5
500100237,4,500100029,Q8,How can leaders within the company better support the professional growth and development of their teams?,6
500100238,4,500100029,Q9,Any additional comments or feedback regarding leadership effectiveness?,7
500100239,1,500100030,Q1,The leadership within the company is generally effective.,1
500100240,1,500100030,Q2,How effectively does leadership provide feedback and guidance for your professional growth?,2
500100241,1,500100030,Q3,How would you rate the communication skills of your direct supervisor/manager?,3
500100242,1,500100030,Q4,Do you feel supported and empowered by your direct supervisor/manager?,4
500100243,4,500100030,Q5,What improvements would you suggest to enhance leadership effectiveness within the company?,5
500100244,4,500100030,Q6,Any additional comments or suggestions regarding leadership effectiveness?,6
500100245,1,500100031,Q1,What is your role in the company?,1
500100246,1,500100031,Q4,How would you rate your immediate supervisor's leadership effectiveness?,2
500100247,1,500100031,Q5,Do you feel that your immediate supervisor provides clear direction and guidance to their team?,3
500100248,1,500100031,Q6,Do you feel supported and motivated by your immediate supervisor?,4
500100249,4,500100031,Q7,What specific areas of leadership do you believe need improvement within the company?,5
500100250,4,500100031,Q8,"How can leaders within the company better communicate, inspire, and motivate their teams?",6
500100251,4,500100031,Q9,Any additional comments or suggestions regarding leadership effectiveness?,7
500100252,1,500100032,Q1,What is your role in the company?,1
500100253,1,500100032,Q3,How effective do you consider the leadership within the company?,2
500100254,2,500100032,Q4,Which specific leadership qualities or behaviors do you appreciate the most within the company?,3
