ID,TYPE_ID,TOPIC_ID,CODE,NAME,DESCRIPTION,FUNCTIONAL_AREA_ID,IS_COLLAPSIBLE,SHOW_QUESTION_CODE,SHOW_CORRECT_ANSWERS,HEADER_LAYOUT_ID,HEADER_TITLE,HEADER_DESCRIPTION,HEADER_RESOURCE_ID,HEADER_COLOR_INDEX,HEADER_HTML,FOOTER_LAYOUT_ID,FOOTER_TITLE,FOOTER_DESCRIPTION,FOOTER_RESOURCE_ID,FOOTER_COLOR_INDEX,FOOTER_HTML,CONTENT_SIDE_PADDING_ID,PADDING_BETWEEN_ROWS_ID,DISPLAY_MODE_ID,CALCULATION_MODE_ID,DECIMAL_PLACES,SHAREDIDENTIFIER,LISTAGENCY_ID,USER_ID,INSERT_TIME,INSERT_USER,INSERT_CLIENT,UPDATE_TIME,UPDATE_USER,UPDATE_CLIENT,UPDATE_COUNT,WORKFLOW_ID
4900001,0,NULL,UCA_QUEST_SKILL,UCA_SKILL,NULL,NULL,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,3,0,NULL,0,NULL,56:19.4,facchini,(NO ADDRESS),56:19.4,facchini,(NO ADDRESS),0,NULL
5100002,0,NULL,PROF_INTERVIEW,Professional Interview,"L’entretien professionnel est un acte clé du management dans l’entreprise.  Au plan collectif, il constitue un pilier de la gestion des ressources humaines de l’entreprise et le cadre d’exercice de sa responsabilité en matière de formation.",NULL,1,1,0,1,Professional Interview,NULL,5100002,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,40:50.9,CARDILLI,172.25.2.85,57:53.4,CARDILLI,172.25.2.85,5,NULL
5100003,2,NULL,0,Course Session Feedback from Learner,NULL,NULL,1,1,0,1,Help us improving your learning experience!,"Your feedback is important. Tell us what worked for you and what didn't. We'll do it better the next time, thanks to your help.",1105204,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,1,0,NULL,0,NULL,47:38.2,CARDILLI,172.25.2.40,47:38.2,CARDILLI,172.25.2.40,0,NULL
500000002,0,NULL,INT,Interview to Employee,NULL,NULL,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,1,3,0,NULL,NULL,NULL,32:03.7,PerformanceDemo01,::1,32:03.7,PerformanceDemo01,::1,0,NULL
500000003,0,NULL,POT,Potential,NULL,NULL,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,1,3,2,NULL,NULL,NULL,43:05.3,PerformanceDemo01,::1,07:28.6,PerformanceDemo01,::1,1,NULL
500000004,0,NULL,SAL,Sales Professional Questionnaire,Sales Professional Questionnaire,NULL,1,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,1,1,0,NULL,NULL,NULL,07:17.6,PerformanceDemo01,::1,07:17.6,PerformanceDemo01,::1,0,NULL
500000005,0,NULL,SE,Survey employee,sadasdasdasdassda,NULL,1,1,0,1,Survey employee,NULL,1128204,NULL,NULL,1,NULL,NULL,1105205,NULL,NULL,1,0,1,1,0,NULL,0,NULL,18:23.1,HR_GLOBAL,::1,03:20.2,training-sprint1_Review_Survey_A,::1,1,NULL
500000006,1,NULL,Talentia HCM Certified User,Talentia HCM Certified User Test,NULL,NULL,1,1,1,1,Talentia HCM Certified User Test,Test your knowledge on HCM,500000003,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,2,0,NULL,0,NULL,12:23.3,HCMDemo01,172.25.2.103,13:34.1,HCMDemo01,172.25.2.103,1,NULL
500100001,1,NULL,C#DEV,C# Basic,.,1900002,1,1,1,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,4,0,NULL,0,NULL,21:35.1,HRPROF,::1,43:43.9,HCMDemo01,::1,1,NULL
1000000001,1,NULL,APM Test,Agile PM test,NULL,NULL,1,1,1,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,1,4,0,NULL,0,NULL,48:42.3,Lucia,::1,48:42.3,Lucia,::1,0,NULL
